Finds No,Unit No,Object,Completeness,Condition,Conservation?,Length (rivet/nail; mm),Diam (head_top; mm),Diam (head_base),Length (rove/strap; mm),width (rove/strap; mm),rove shape,head type,shaft type,length (between heads/staple ends; mm),Draw/Photo,Shaft diam (mm),Weight (g),Notes,Neat rivet hole,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
2963,592,strap,fragment,light verdigris,TRUE,,,,20,5,,,,,FALSE,,0.34,"in two fragments; has a rivet hole at one end, other end is slightly tapering",FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2964,592,strap,fragment,light verdigris,FALSE,,,,28,9,,,,,FALSE,,3.25,irregularly rolled up rather thick copper sheet; leftovers?,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
19355,595,strap,fragment,moderate verdigris,FALSE,,,,16,10,,,,,FALSE,,0.34,diamond shaped fragment,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3059,596,strap,fragment,moderate verdigris,FALSE,,,,44,14,,,,,FALSE,,8.08,thick bent fragment,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3121,598,strap,fragment,light verdigris,FALSE,,,,41,5,,,,,FALSE,,0.9,with possible one half of a rivet hole at tip,FALSE,S34.1,1880,1920,1880-1920,1870-1930,Silo Pit
3094,703,strap,fragment,light verdigris,FALSE,,,,20,10,,,,,FALSE,,0.85,triangular shaped,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3094,703,strap,fragment,light verdigris,FALSE,,,,31,7,,,,,FALSE,,0.36,triangle shaped,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3094,703,strap,near complete,,FALSE,,,,,1,,,,,FALSE,,,rolled up strap with tapered ends,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3094,703,strap,fragment,moderate verdigris,FALSE,,,,61,10,,,,,FALSE,,3.34,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
3167,711,strap,fragment,moderate verdigris,FALSE,,,,26,14,,,,,FALSE,,0.63,very fragmented; double sheet with some sort of copper thread/wire between them,FALSE,S4.2,1760,1780,1760-1780,1750-1780,Lodge/Dining Room & Chambers
3633,860,strap,fragment,light verdigris,TRUE,,,,90,9,,,,,FALSE,,3.76,,FALSE,C.4,1850,1890,1850-1890,1840-1900,Courtyard
4676,933,strap,fragment,light verdigris,TRUE,,,,23,18,,,,,FALSE,,1.36,,FALSE,S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
3646,945,strap,fragment,light verdigris,TRUE,,,,36,5,,,,,FALSE,,0.77,half a rivet hole visible,FALSE,S21.2,1690,1750,1690-1750,1690-1750,School Room
9237,956,strap,near complete,light verdigris,TRUE,,,,24,2,,,,,FALSE,,0.16,some wood seems to be attached,FALSE,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
3762,963,strap,near complete,light verdigris,TRUE,,,,26,3,,,,,FALSE,,1.01,bends into a half-circle,FALSE,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
3726,988,strap,near complete,light verdigris,TRUE,,,,40,3,,,,,FALSE,,0.41,,FALSE,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
3694,1034,strap,fragment,light verdigris,TRUE,,,,52,13,,,,,FALSE,,1.81,,FALSE,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
3698,1035,strap,fragment,moderate verdigris,FALSE,,,,15,6,,,,,FALSE,,0.36,"two fragments; badly preserved; textile attached; weighed together, larger one measured",FALSE,S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
3711,1035,strap,fragment,light verdigris,FALSE,,,,36,9,,,,,FALSE,,0.38,very thin sheet with wood attached to it; a piece of the wood has chipped off and is free floating in the bag,FALSE,S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
3779,1208,strap,fragment,light verdigris,TRUE,,,,33,24,,,,,FALSE,,1.79,"has a purposefully made narrow, long hole probably made for something to go through that was more like a strap than a nail/rivet",FALSE,S3.1,1760,1890,1760-1890,1750-1900,Pantry/Stores
18970,1245,strap,fragment,light verdigris,FALSE,,,,12,8,,,,,FALSE,,0.1,,FALSE,S35.2,,1958,1958,1930-1960,Western Farmhouse
18137,1309,strap,fragment,light verdigris,TRUE,,,,10,8,,,,,FALSE,,0.13,ID 261-264 probably fragments of one sheet,FALSE,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
18137,1309,strap,fragment,light verdigris,FALSE,,,,3,2,,,,,FALSE,,0.02,ID 261-264 probably fragments of one sheet,FALSE,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
7288,1348,strap,fragment,light verdigris,TRUE,,,,53,16,,,,,FALSE,,3.02,,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7300,1362,strap,fragment,light verdigris,TRUE,,,,14,12,,,,,FALSE,,0.34,,FALSE,S18.8,1790,1830,1790-1830,1780-1840,Midden
7300,1362,strap,,,TRUE,,,,11,2,,,,,FALSE,,0.07,,FALSE,S18.8,1790,1830,1790-1830,1780-1840,Midden
7300,1362,strap,,,TRUE,,,,14,9,,,,,FALSE,,0.22,,FALSE,S18.8,1790,1830,1790-1830,1780-1840,Midden
7308,1390,strap,complete,light verdigris,TRUE,,,,25,20,,,,,FALSE,,5.38,bent on each long side; unbent length closer to 45,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7311,1391,strap,fragment,light verdigris,TRUE,,,,10,3,,,,,FALSE,,0.12,bent in a half circle; might be part of something like a copper lid?,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7321,1412,strap,fragment,light verdigris,TRUE,,,,11,6,,,,,FALSE,,0.16,strap with one hole for a rivet,FALSE,S18.8,1790,1830,1790-1830,1780-1840,Midden
7369,1509,strap,fragment,light verdigris,TRUE,,,,23,12,,,,,FALSE,,0.65,folded,FALSE,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
7369,1509,strap,fragment,light verdigris,TRUE,,,,8,5,,,,,FALSE,,0.08,"some sort of copper wire or band stamped into it, or textile?",FALSE,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
7404,1627,strap,fragment,light verdigris,TRUE,,,,39,10,,,,,FALSE,,0.74,,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7446,1641,strap,fragment,light verdigris,TRUE,,,,10,9,,,,,FALSE,,0.39,,FALSE,S18.6,1760,1770,1760-1770,1750-1780,Pantry
7468,1690,strap,complete,light verdigris,TRUE,,,,147,3,,,,,FALSE,,2.43,long slim strip,FALSE,S7.2,1760,1800,1760-1800,1750-1810,Vestibule & Corridor
10157,1744,strap,fragment,light verdigris,TRUE,,,,46,5,,,,,FALSE,,0.71,,FALSE,C.3,1830,1850,1830-1850,1810-1870,Courtyard
10172,1855,strap,,,FALSE,,,,14,12,,,,,FALSE,,0.52,thin sheet folded together; may have one rivet attached but possibly just a weird folding.,FALSE,C.3,1830,1850,1830-1850,1810-1870,Courtyard
10182,1907,strap,fragment,light verdigris,TRUE,,,,51,16,,,,,FALSE,,3.16,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10196,1935,strap,near complete,moderate verdigris,TRUE,,,,75,8,,,,,FALSE,,3.01,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10196,1935,strap,fragment,moderate verdigris,TRUE,,,,18,15,,,,,FALSE,,1.01,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10202,1960,strap,near complete,light verdigris,TRUE,,,,26,15,,,,,FALSE,,1.42,strap has a big hole on one side that might represent a keyhole fragment.,FALSE,S18.5,1740,1760,1740-1760,1720-1780,Pantry
10215,2048,strap,fragment,light verdigris,TRUE,,,,45,33,,,,,FALSE,,7.46,sheet with perforations possibly from rivets and another smaller fragment,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10218,2050,strap,fragment,light verdigris,TRUE,,,,21,9,,,,,FALSE,,6.22,"thick, has possible signs of a rivet hole at end",FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10229,2116,strap,fragment,light verdigris,TRUE,,,,24,12,,,,,FALSE,,1.51,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10238,2129,strap,fragment,moderate verdigris,FALSE,,,,7,4,,,,,FALSE,,0.12,tiny strap fragment,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
