ID,Sherd group,Find No,Unit No,Group No,Refit/Same as,Vessel ID,Same as VID,Colour,Lead crystal,Textured surface,Vessel Function,Vessel Class,Vessel Type_new,Finish process,Rim type,Rim Code,string rim depth,Body process,Ghost seam,Base process,Base mark,Base embossing,Process,evrep,Count,Weight,eve (rim),eve (base),size (mm),height (mm),Vessel Diam,Applied decoration,Moulded decoration,Enamelled,Engraved,Cut,Etched,Burnt,Patination,Date,Notes,Illustration,Building Phases_Building Phase,Real Date,Start date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,,
4140,1213,3282,445,,,,,modern green,FALSE,FALSE,,,,,,,,,FALSE,,,,,batch,2,0,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4130,1219,3289,673,,,,,light green,FALSE,FALSE,,,,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4124,1242,3447,571,,,,,light green,FALSE,FALSE,,,,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4118,4576,2569,481,,,,,light green,FALSE,FALSE,,,,,,,,,FALSE,,,,,batch,3,0.6,,,,,,,,,,,,FALSE,TRUE,,thin-walled vessel(s),FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
101,3707,11541,2517,,,,,green,FALSE,TRUE,Storage,Bottle,,,,,,,FALSE,,,,,1/1,1,3,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2493,1884,Drain,in situ,FALSE,,
3629,3706,11541,2517,,,321,,blue,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,5,,,,,,,,,,,,FALSE,TRUE,,"window - or case bottle, re-worked as window? Trimmed edges. C. 1,8mm thick",FALSE,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2493,1884,Drain,in situ,FALSE,,
151,3708,11540,2516,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,2,,,,,,,,,,,,FALSE,TRUE,,case?,FALSE,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2493,1884,Drain,in situ,FALSE,,
136,3772,11499,2461,,,335,,light green,FALSE,FALSE,Drinking,Beaker,cylindrical beaker,,,,,,FALSE,,,,,1/1,,,,,,,,notched rigaree band,,,,,,FALSE,FALSE,c.1550-1650,beaker; cf. Henkes 35,FALSE,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2447,1884,Barrel Pit,in situ,FALSE,,
3145,4425,17332,3020,,,,,green,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,1/1,1,1.9,,,,,,,,,,,,FALSE,FALSE,17/18 c,concave sided polygonal/case bottle,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
3264,4519,17240,2958,,,294,,light green,FALSE,FALSE,Storage,Bottle,square bottle,,,,,,FALSE,,,,,1/1,1,2,,,,,,,,,,,,FALSE,TRUE,17/18 c,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2960,1680,Drain,in situ,FALSE,,
178,3549,11475,2419,,,339,,light green,FALSE,FALSE,Storage,Bottle,square bottle,,,,,,FALSE,,,,,1/1,1,1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,FALSE,,
4249,1823,5516,1040,,,447,,colourless,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,batch,1,0,,,,,,,,"blue, red & green",,,,FALSE,FALSE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,,
4343,1533,5355,895,,,461,,light green,FALSE,FALSE,Storage,Bottle,square bottle,,,,,,FALSE,,,,,batch,3,2,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,,
4303,394,241,124,,,,,green,FALSE,FALSE,Storage,Bottle,,,,,,,FALSE,,,,,1/1,1,1,,,,,,,,,,,,FALSE,FALSE,,body,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,153,878,Fireplace,in situ,FALSE,,
4276,1534,5355,895,,,,,emerald,FALSE,FALSE,Storage,Bottle,,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,,
4277,1596,5397,947,,,,,emerald,FALSE,FALSE,Storage,Bottle,,,,,,,FALSE,,,,,batch,1,1,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,FALSE,,
4320,1824,5517,1040,,,,,green,FALSE,FALSE,Storage,Bottle,,,,,,,FALSE,,,,,batch,2,2,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,,
4279,1832,5522,1048,,,,,emerald,FALSE,FALSE,Storage,Bottle,,,,,,,FALSE,,,,,batch,7,7,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Post setting,in situ,TRUE,,
4275,1910,5587,1122,,,,,emerald,FALSE,TRUE,Storage,Bottle,,,,,,,FALSE,Dip mould,,,,1/1,1,13,,,,,,,,,,,,FALSE,FALSE,17/18 c.,base of large case bottle?,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Fireplace,disturbed,FALSE,,
3073,4520,17240,2958,,,76,,blue,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,2.1,,,,,,,,,,,,FALSE,TRUE,,case?,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2960,1680,Drain,in situ,FALSE,,
3245,4191,15135,3021,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,2,1,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
3233,4250,14361,2965,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3244,4276,14343,3010,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
3144,4356,14275,2965,,,,,green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,1,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3239,4367,17284,2972,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2999,1680,Drain,in situ,FALSE,,
3234,4371,17287,2968,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3074,4423,17330,3008,,,,,blue,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,1.8,,,,,,,,,,,,FALSE,TRUE,,case bottle?,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
3240,4458,17280,2981,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.2,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3235,4524,17494,2968,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3243,4537,17481,3005,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
3241,4538,17480,2982,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.2,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3236,4540,17478,2969,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3086,4541,17478,2969,,,,,colourless,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,5,0.5,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3242,4587,19216,2982,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,TRUE,,"body, thin-walled - possibly pane; from sample 358",FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3087,4692,18907,2970,,,,,colourless,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,TRUE,,"thin, prob sq flask; sample 355",FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2999,1680,Drain,in situ,FALSE,,
3238,4693,18909,2970,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,TRUE,,thin; water rolled? Sample 355,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2999,1680,Drain,in situ,FALSE,,
3237,4694,18908,2970,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,0.3,,,,,,,,,,,,FALSE,TRUE,,thin; sample 355,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2999,1680,Drain,in situ,FALSE,,
150,3552,11470,2408,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,FALSE,,
149,3560,11460,2383,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,1/1,1,1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,FALSE,,
4262,0,5374,913,,,,,dark green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,,1,2.17,,,,,,,,,,,,FALSE,FALSE,,"vessel blown in a mould, no clear sign of reuse as window glass.",FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,,
4267,1787,5491,1022,,,450,,emerald,FALSE,FALSE,Other,Hourglass,hourglass,By hand,everted,,,,FALSE,,,,,1/1,1,4,100,,20,,,,,,,,,FALSE,FALSE,17/18 c.,,TRUE,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,,
3098,4457,17280,2981,,,,,colourless,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,1/1,1,0.2,,,,,,,bossed? Optic blown,,,,,FALSE,FALSE,17/18 c,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
3099,4424,17331,3015,,,,,colourless,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,1/1,1,0.2,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
3259,4528,17490,3003,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
164,3550,11473,2413,,,337,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,1/1,1,0,,,,,,,widely spaced vertical ribs,,,,,FALSE,FALSE,16/17 c.,ribber beaker or jug,FALSE,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,FALSE,,
4340,1595,5397,947,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,ribbing,,,,,FALSE,FALSE,17 c?,ribbed beaker?,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,FALSE,,
4269,1544,5368,909,,,,,emerald,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,TRUE,,
4271,1788,5491,1022,,,,,emerald,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,5,1,,,,,,,,,,,,FALSE,FALSE,,body - poss from #1787,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,,
4341,1789,5491,1022,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,6,2,,,,,,,,,,,,FALSE,FALSE,,misc,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE,,
4342,1825,5517,1040,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,,
4283,1822,5516,1040,,,453,,flecked,FALSE,FALSE,tableware,tableware,blue plumed tableware,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,blue plumed,FALSE,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE,,
3198,4275,14344,3018,,,,,green,FALSE,FALSE,,,,,,,,,FALSE,,,,,1/1,1,0,,,,,,,,,,,,TRUE,FALSE,,warped and bubbly surface,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE,,
3197,4372,17288,2993,,,,,green,FALSE,FALSE,,,,,,,,,FALSE,,,,,1/1,1,0,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2960,1680,Drain,in situ,TRUE,,
3107,4390,17301,2996,,,,,colourless,FALSE,FALSE,,,,,,,,,FALSE,,,,,1/1,1,0.2,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2951,2764,Fireplace,in situ,FALSE,,
3292,4435,17338,2994,,,,,light green,FALSE,FALSE,,,,,,,,,FALSE,,,,,1/1,1,0.1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2960,1680,Drain,in situ,TRUE,,
3291,4500,17252,2982,,,,,light green,FALSE,FALSE,,,,,,,,,FALSE,,,,,1/1,1,0.2,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE,,
