Finds No,Unit No,Count,Weight,Thickness,Colour,Bubbles,Original Edge,Fracture Edge,Ridge Lines,Shadow Lines,Quarry shape,Length,Width,Quarry size,Burnt,Patina,Decoration,scratch type,Scratchings,object,Completeness,Other Comments,Control reading,Translucency reading,Percentage translusency,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved
2569,481,1,0.58,1.8,blue,None,,Straight,,FALSE,,,,,FALSE,heavy,,,,vessel,,"Vessel, blue glass.",,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2784,571,4,1.89,1.8,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,reddish paint on one fragment,,,?painted pane,,Yellowish tinted fragment,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3317,368,2,2.57,2,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2504,500,2,1.44,2,colourless,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3282,445,1,3.6,6,dark green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
11538,2512,1,1.13,2.5,colourless,None,Chipped,Straight,,FALSE,curved,,,,FALSE,slight,,,,pane,,,,,,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2493,1884,Drain,in situ,FALSE
11539,2515,1,2.19,2.4,dark green,Frequent,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2493,1884,Drain,in situ,FALSE
11538,2512,1,1.96,3,dark green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S18.1,1670-1680,1670,1680,1660-1690,Pantry,2493,1884,Drain,in situ,FALSE
5492,1022,3,1.52,1.2,dark green,Occasional,Cut,Straight,,FALSE,diamond/lozenge,,,,FALSE,slight,,,,pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5369,909,1,1.03,1.6,light green,Occasional,Chipped;Cut,Straight,,TRUE,diamond/lozenge,,,,FALSE,slight,,,,pane,,patina mainly on one side,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,TRUE
5354,895,1,1.07,2.2,colourless,Occasional,Chipped,Straight,,FALSE,square/rectangular,,,,FALSE,slight,"one side has yellow tinted paint, and a painted floral pattern on top.",,,painted pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5481,1009,4,0.68,1,light green,None,Cut,Straight,,FALSE,straight-sided,,,,FALSE,,,edge - line,Linear scratch mark parallel to cut edge on one fragment,pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE
5492,1022,13,3.58,1,light green,None,Cut,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,10.62,7.23,0.68079096,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5532,1058,2,0.82,1,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,absent,,,,pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Wall,in situ,FALSE
5369,909,3,1.55,1.4,light green,Frequent,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,10.91,7.6,0.696608616,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,TRUE
5374,913,2,0.66,1.8,light green,Occasional,Chipped,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5356,895,5,2.11,2,light green,Occasional,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5374,913,1,0.15,0.6,light green,None,,Straight,,FALSE,,,,,FALSE,absent,,,,?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5334,878,1,0.89,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,163,878,Building,in situ,FALSE
5464,993,1,0.45,1,dark green,,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5518,1040,2,0.82,1.2,light green,,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,1046,878,Floor,in situ,TRUE
5373,913,1,0.98,1.5,colourless,Occasional,,Straight,,FALSE,,,,,FALSE,absent,"painted on one side with floral pattern, Yellow paint in one corner",,,?painted pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
